Champion,,Best Partner,Counters ,Countered by
Twitch,51.10%,Amumu,Aphelios,Amumu
Twitch,,Amumu+8.5%,Aphelios+6.0%,Amumu-10.8%
"AD Carry, Support",,,,
Udyr,52.00%,Orianna,Viego,Amumu
Udyr,,Orianna+6.9%,Viego+4.6%,Amumu-4.4%
Jungler,,,,
Urgot,50.70%,Soraka,Riven,Illaoi
Urgot,,Soraka+10.4%,Riven+5.4%,Illaoi-8.3%
Top,,,,
Varus,48.80%,Jayce,Kalista,Ziggs
Varus,,Jayce+5.6%,Kalista+6.3%,Ziggs-6.1%
AD Carry,,,,
Vayne,48.40%,Rakan,Lucian,Xayah
Vayne,,Rakan+7.9%,Lucian+2.8%,Xayah-5.8%
AD Carry,,,,
Veigar,48.00%,Blitzcrank,Ryze,Vladimir
Veigar,,Blitzcrank+7.1%,Ryze+5.9%,Vladimir-5.4%
Mid,,,,
Vel'Koz,51.80%,Master Yi,Syndra,Blitzcrank
Vel'Koz,,Master Yi+8.5%,Syndra+3.3%,Blitzcrank-4.2%
"Support, Mid",,,,
Vex,50.60%,Sona,LeBlanc,Cassiopeia
Vex,,Sona+6.5%,LeBlanc+7.8%,Cassiopeia-11.2%
Mid,,,,
Vi,50.60%,Akshan,Jarvan IV,Maokai
Vi,,Akshan+8.2%,Jarvan IV+6.8%,Maokai-4.3%
Jungler,,,,
Viego,47.00%,Maokai,Jarvan IV,Rammus
Viego,,Maokai+9.4%,Jarvan IV+4.5%,Rammus-10.6%
Jungler,,,,
Viktor,50.00%,Warwick,Azir,Xerath
Viktor,,Warwick+7.1%,Azir+10.1%,Xerath-5.2%
Mid,,,,
Vladimir,49.80%,Nocturne,Veigar,Malzahar
Vladimir,,Nocturne+7.6%,Veigar+7.6%,Malzahar-8.5%
"Mid, Top",,,,
Volibear,48.10%,Jinx,Sett,Jax
Volibear,,Jinx+6.0%,Sett+4.7%,Jax-6.4%
"Top, Jungler",,,,
Warwick,49.90%,Ashe,Kayn,Jax
Warwick,,Ashe+6.2%,Kayn+6.8%,Jax-8.8%
"Jungler, Top",,,,
Wukong,50.60%,Zilean,Xin Zhao,Maokai
Wukong,,Zilean+5.4%,Xin Zhao+4.8%,Maokai-6.0%
Jungler,,,,
Xayah,51.70%,Swain,Vayne,Seraphine
Xayah,,Swain+5.8%,Vayne+5.8%,Seraphine-6.7%
AD Carry,,,,
Xerath,50.40%,Rammus,Yuumi,Sona
Xerath,,Rammus+8.7%,Yuumi+6.7%,Sona-7.9%
"Support, Mid",,,,
Xin Zhao,49.30%,Karma,Lee Sin,Wukong
Xin Zhao,,Karma+7.6%,Lee Sin+6.0%,Wukong-4.6%
Jungler,,,,
Yasuo,48.90%,Maokai,Ryze,Annie
Yasuo,,Maokai+6.9%,Ryze+7.7%,Annie-7.6%
Mid,,,,
Yone,48.80%,Rengar,Azir,Fiora
Yone,,Rengar+7.5%,Azir+10.6%,Fiora-7.1%
"Mid, Top",,,,
Yorick,48.90%,Cassiopeia,Illaoi,Irelia
Yorick,,Cassiopeia+10.2%,Illaoi+8.7%,Irelia-7.6%
Top,,,,
Yuumi,41.80%,Bel'Veth,Swain,Leona
Yuumi,,Bel'Veth+10.9%,Swain+5.7%,Leona-4.9%
Support,,,,
Zac,52.30%,Taric,Lee Sin,Bel'Veth
Zac,,Taric+10.9%,Lee Sin+5.8%,Bel'Veth-5.8%
Jungler,,,,
Zed,49.20%,Shen,Tristana,Anivia
Zed,,Shen+7.2%,Tristana+8.1%,Anivia-4.6%
Mid,,,,
Zeri,49.20%,Leona,Aphelios,Twitch
Zeri,,Leona+6.9%,Aphelios+7.4%,Twitch-4.5%
AD Carry,,,,
Ziggs,51.30%,Jinx,Varus,Kai'Sa
Ziggs,,Jinx+8.4%,Varus+6.1%,Kai'Sa-6.0%
"Mid, AD Carry",,,,
Zilean,51.80%,Rammus,Pyke,Morgana
Zilean,,Rammus+7.4%,Pyke+3.9%,Morgana-7.3%
Support,,,,
Zoe,50.90%,Maokai,Lux,Malzahar
Zoe,,Maokai+6.4%,Lux+5.7%,Malzahar-10.3%
Mid,,,,
Zyra,51.10%,Garen,Thresh,Amumu
Zyra,,Garen+6.0%,Thresh+3.6%,Amumu-3.3%
Support,,,,
